Variable_1,Variable_2,Correlation,Abs_Correlation
ai_software_revenue_in_billions_std_2,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9757725901304295,0.9757725901304295
global_ai_market_value_in_billions_ma_3,global_ai_market_value_in_billions_diff_lag_1,0.9756250180950711,0.9756250180950711
global_ai_market_value_in_billions_std_2,global_ai_market_value_in_billions_ma_3,0.9756250180950709,0.9756250180950709
ai_software_revenue_in_billions_std_2,global_ai_market_value_in_billions_ma_5,0.9755764508179532,0.9755764508179532
global_ai_market_value_in_billions_ma_5,ai_software_revenue_in_billions_diff_lag_1,0.9755764508179531,0.9755764508179531
ai_contribution_to_healthcare_in_billions,organizations_using_ai_lower_band,0.9755515389341943,0.9755515389341943
organizations_using_ai_cumulative_growth,organizations_using_ai_lower_band,0.9754222545875995,0.9754222545875995
organizations_using_ai_lower_band,organizations_using_ai_zscore,0.9754222545875995,0.9754222545875995
organizations_using_ai,organizations_using_ai_lower_band,0.9754222545875993,0.9754222545875993
ai_software_revenue_in_billions_lag_1,organizations_using_ai_lag_1,0.9753502950615004,0.9753502950615004
ai_software_revenue_in_billions_ma_2,ai_software_revenue_in_billions_ratio_lag_3,-0.9753319149180387,0.9753319149180387
global_ai_market_value_in_billions,adoption_momentum,-0.9753189034828371,0.9753189034828371
global_ai_market_value_in_billions_cumulative_growth,adoption_momentum,-0.975318903482837,0.975318903482837
adoption_momentum,global_ai_market_value_in_billions_zscore,-0.975318903482837,0.975318903482837
ai_software_revenue_in_billions_detrended,global_ai_market_value_in_billions_ma_3,0.9753033093664124,0.9753033093664124
job_creation_ratio,estimated_revenue_increase_from_ai_trillions_usd_lower_band,0.9752152937819202,0.9752152937819202
organizations_using_ai_std_5,competition_intensity,0.9751899085501229,0.9751899085501229
estimated_revenue_increase_from_ai_trillions_usd_ma_3,ai_software_revenue_in_billions_lag_2,0.9751814596330233,0.9751814596330233
global_ai_market_value_in_billions_yoy_growth,global_ai_market_value_in_billions_lower_band,-0.9751438001073046,0.9751438001073046
global_ai_market_value_in_billions_rolling_2y_growth,global_ai_market_value_in_billions_lower_band,-0.9751438001073046,0.9751438001073046
global_ai_market_value_in_billions_ratio_lag_1,global_ai_market_value_in_billions_lower_band,-0.9751438001073045,0.9751438001073045
net_job_loss_in_the_us,organizations_using_ai_zscore,-0.9750866640012041,0.9750866640012041
organizations_using_ai,net_job_loss_in_the_us,-0.9750866640012041,0.9750866640012041
net_job_loss_in_the_us,organizations_using_ai_cumulative_growth,-0.9750866640012041,0.9750866640012041
estimated_revenue_increase_from_ai_trillions_usd_ma_2,ai_software_revenue_in_billions_lag_1,0.9749931779762832,0.9749931779762832
organizations_using_ai_lag_3,market_efficiency_ratio,-0.9749278268458511,0.9749278268458511
global_ai_market_value_in_billions_ratio_lag_3,organizations_using_ai_diff_lag_3,0.9748445711998619,0.9748445711998619
ai_software_revenue_in_billions_lag_3,estimated_revenue_increase_from_ai_trillions_usd_lag_1,0.9743390039528572,0.9743390039528572
ai_software_revenue_in_billions_lag_3,estimated_revenue_increase_from_ai_trillions_usd_lag_2,0.9743390039528572,0.9743390039528572
ai_software_revenue_in_billions_lag_3,estimated_revenue_increase_from_ai_trillions_usd_lag_3,0.9743390039528571,0.9743390039528571
estimated_jobs_eliminated_by_ai_millions,ai_software_revenue_in_billions_lag_3,0.9743390039528571,0.9743390039528571
americans_using_voice_assistants_%,ai_software_revenue_in_billions_lag_3,0.9743390039528571,0.9743390039528571
ai_software_revenue_in_billions_lag_3,net_job_impact,-0.974339003952857,0.974339003952857
marketers_believing_ai_improves_email_revenue,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
companies_prioritizing_ai_in_strategy,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
ai_software_revenue_in_billions_lag_3,cycle_position,0.974339003952857,0.974339003952857
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
jobs_at_high_risk_of_automation__manufacturing,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
year,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
estimated_new_jobs_created_by_ai_millions,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
ai_software_revenue_in_billions_lag_3,years_since_start,0.974339003952857,0.974339003952857
organizations_believing_ai_provides_competitive_edge,ai_software_revenue_in_billions_lag_3,0.974339003952857,0.974339003952857
estimated_revenue_increase_from_ai_trillions_usd_std_5,global_ai_market_value_in_billions_ratio_lag_1,0.9742093417581962,0.9742093417581962
global_ai_market_value_in_billions_yoy_growth,estimated_revenue_increase_from_ai_trillions_usd_std_5,0.9742093417581944,0.9742093417581944
global_ai_market_value_in_billions_rolling_2y_growth,estimated_revenue_increase_from_ai_trillions_usd_std_5,0.9742093417581944,0.9742093417581944
global_ai_market_value_in_billions_ma_2,global_ai_market_value_in_billions_ratio_lag_3,0.9741508373404706,0.9741508373404706
estimated_revenue_increase_from_ai_trillions_usd_lag_3,market_efficiency_ratio,-0.9741137401045341,0.9741137401045341
ai_software_revenue_in_billions,marketers_believing_ai_improves_email_revenue,0.9739975685071787,0.9739975685071787
marketers_believing_ai_improves_email_revenue,ai_software_revenue_in_billions_zscore,0.9739975685071782,0.9739975685071782
marketers_believing_ai_improves_email_revenue,ai_software_revenue_in_billions_cumulative_growth,0.973997568507178,0.973997568507178
organizations_planning_to_implement_ai,ai_software_revenue_in_billions_lag_2,0.9738690430098571,0.9738690430098571
expected_increase_in_employee_productivity_due_to_ai_%,ai_software_revenue_in_billions_ratio_lag_3,-0.973767187329593,0.973767187329593
ai_software_revenue_in_billions_ma_3,organizations_using_ai_lower_band,0.9737299973034769,0.9737299973034769
global_ai_market_value_in_billions_ma_3,global_ai_market_value_in_billions_ratio_lag_3,0.9736364155598669,0.9736364155598669
ai_software_revenue_in_billions_lag_2,estimated_revenue_increase_from_ai_trillions_usd_lag_1,0.9736053841990171,0.9736053841990171
ai_software_revenue_in_billions_lag_2,estimated_revenue_increase_from_ai_trillions_usd_lag_2,0.9736053841990171,0.9736053841990171
year,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
ai_software_revenue_in_billions_lag_2,years_since_start,0.973605384199017,0.973605384199017
americans_using_voice_assistants_%,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
companies_prioritizing_ai_in_strategy,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
ai_software_revenue_in_billions_lag_2,net_job_impact,-0.973605384199017,0.973605384199017
marketers_believing_ai_improves_email_revenue,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
ai_software_revenue_in_billions_lag_2,cycle_position,0.973605384199017,0.973605384199017
estimated_new_jobs_created_by_ai_millions,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
estimated_jobs_eliminated_by_ai_millions,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
jobs_at_high_risk_of_automation__manufacturing,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
organizations_believing_ai_provides_competitive_edge,ai_software_revenue_in_billions_lag_2,0.973605384199017,0.973605384199017
ai_software_revenue_in_billions_diff_lag_3,global_ai_market_value_in_billions_lag_1,0.9735797455148439,0.9735797455148439
ai_software_revenue_in_billions_diff_lag_1,organizations_using_ai_lower_band,0.9735034747399846,0.9735034747399846
ai_software_revenue_in_billions_std_2,organizations_using_ai_lower_band,0.9735034747399846,0.9735034747399846
ai_software_revenue_in_billions_ratio_lag_3,organizations_using_ai_lag_1,-0.9734244456445066,0.9734244456445066
ai_software_revenue_in_billions_std_5,organizations_using_ai_lower_band,0.9733990368589347,0.9733990368589347
ai_software_revenue_in_billions_cumulative_growth,ai_software_revenue_in_billions_ratio_lag_3,-0.9733761661175306,0.9733761661175306
ai_software_revenue_in_billions,ai_software_revenue_in_billions_ratio_lag_3,-0.9733761661175305,0.9733761661175305
ai_software_revenue_in_billions_ratio_lag_3,ai_software_revenue_in_billions_zscore,-0.9733761661175304,0.9733761661175304
revenue_per_org_using_ai,ai_software_revenue_in_billions_lower_band,0.973329944831153,0.973329944831153
ai_software_revenue_in_billions,estimated_new_jobs_created_by_ai_millions,0.973318537241951,0.973318537241951
estimated_new_jobs_created_by_ai_millions,ai_software_revenue_in_billions_zscore,0.9733185372419508,0.9733185372419508
estimated_new_jobs_created_by_ai_millions,ai_software_revenue_in_billions_cumulative_growth,0.9733185372419507,0.9733185372419507
global_ai_market_value_in_billions_lag_1,ai_software_revenue_in_billions_upper_band,0.9732885104106891,0.9732885104106891
year,ai_software_revenue_in_billions_lag_1,0.9731217545494583,0.9731217545494583
estimated_new_jobs_created_by_ai_millions,ai_software_revenue_in_billions_lag_1,0.9731217545494583,0.9731217545494583
ai_software_revenue_in_billions_lag_1,estimated_revenue_increase_from_ai_trillions_usd_lag_1,0.9731217545494583,0.9731217545494583
ai_software_revenue_in_billions_lag_1,net_job_impact,-0.9731217545494583,0.9731217545494583
ai_software_revenue_in_billions_lag_1,years_since_start,0.9731217545494583,0.9731217545494583
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,ai_software_revenue_in_billions_lag_1,0.9731217545494583,0.9731217545494583
ai_software_revenue_in_billions_lag_1,cycle_position,0.9731217545494583,0.9731217545494583
companies_prioritizing_ai_in_strategy,ai_software_revenue_in_billions_lag_1,0.9731217545494583,0.9731217545494583
marketers_believing_ai_improves_email_revenue,ai_software_revenue_in_billions_lag_1,0.9731217545494583,0.9731217545494583
jobs_at_high_risk_of_automation__manufacturing,ai_software_revenue_in_billions_lag_1,0.9731217545494583,0.9731217545494583
estimated_jobs_eliminated_by_ai_millions,ai_software_revenue_in_billions_lag_1,0.9731217545494582,0.9731217545494582
americans_using_voice_assistants_%,ai_software_revenue_in_billions_lag_1,0.9731217545494582,0.9731217545494582
global_ai_market_value_in_billions_ma_3,estimated_revenue_increase_from_ai_trillions_usd_std_5,0.9730664341820402,0.9730664341820402
digital_voice_assistants_billions_of_devices,ai_software_revenue_in_billions_ma_2,0.9729045182824255,0.9729045182824255
ai_software_revenue_in_billions_ma_2,global_ai_market_value_in_billions_lag_1,0.9728981789529787,0.9728981789529787
global_ai_market_value_in_billions_rolling_2y_growth,market_acceleration,0.9728711797368874,0.9728711797368874
global_ai_market_value_in_billions_yoy_growth,market_acceleration,0.9728711797368874,0.9728711797368874
global_ai_market_value_in_billions_ratio_lag_1,market_acceleration,0.9728711797368873,0.9728711797368873
ai_software_revenue_in_billions_ratio_lag_3,revenue_per_org_using_ai,-0.9726681835318485,0.9726681835318485
job_creation_ratio,net_job_impact,-0.9725393447208889,0.9725393447208889
estimated_revenue_increase_from_ai_trillions_usd_lag_2,job_creation_ratio,0.9724131844959377,0.9724131844959377
ai_adoption_%,global_ai_market_value_in_billions_lag_2,0.972281400200141,0.972281400200141
organizations_planning_to_implement_ai,ai_software_revenue_in_billions_lag_1,0.9722379153685223,0.9722379153685223
ai_software_revenue_in_billions_ma_5,job_creation_ratio,0.9721796527658422,0.9721796527658422
ai_software_revenue_in_billions,organizations_planning_to_implement_ai,0.9721648031883575,0.9721648031883575
organizations_planning_to_implement_ai,ai_software_revenue_in_billions_zscore,0.9721648031883574,0.9721648031883574
organizations_planning_to_implement_ai,ai_software_revenue_in_billions_cumulative_growth,0.9721648031883572,0.9721648031883572
net_job_loss_in_the_us,ai_contribution_to_healthcare_in_billions,-0.9721487027149385,0.9721487027149385
estimated_revenue_increase_from_ai_trillions_usd_ma_5,ai_software_revenue_in_billions_ratio_lag_2,-0.9721461188650075,0.9721461188650075
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,ai_software_revenue_in_billions_zscore,0.9721377162654077,0.9721377162654077
ai_software_revenue_in_billions_zscore,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9721377162654077,0.9721377162654077
ai_software_revenue_in_billions,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9721377162654077,0.9721377162654077
estimated_revenue_increase_from_ai_trillions_usd,ai_software_revenue_in_billions_zscore,0.9721377162654076,0.9721377162654076
ai_software_revenue_in_billions,estimated_revenue_increase_from_ai_trillions_usd,0.9721377162654076,0.9721377162654076
ai_software_revenue_in_billions,estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,0.9721377162654075,0.9721377162654075
ai_software_revenue_in_billions_cumulative_growth,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9721377162654075,0.9721377162654075
estimated_revenue_increase_from_ai_trillions_usd,ai_software_revenue_in_billions_cumulative_growth,0.9721377162654073,0.9721377162654073
ai_software_revenue_in_billions_cumulative_growth,estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,0.9721377162654072,0.9721377162654072
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_std_5,0.9720993894920174,0.9720993894920174
global_ai_market_value_in_billions_ma_5,organizations_using_ai_diff_lag_3,0.9720993894920165,0.9720993894920165
global_ai_market_value_in_billions_ma_5,adoption_momentum,-0.9720993894920165,0.9720993894920165
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9720993894920164,0.9720993894920164
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_volatility,0.9720993894920155,0.9720993894920155
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_std_3,0.9720993894920155,0.9720993894920155
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,0.9720993894920155,0.9720993894920155
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,0.9720993894920154,0.9720993894920154
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_std_2,0.9720993894920112,0.9720993894920112
global_ai_market_value_in_billions_ma_5,estimated_revenue_increase_from_ai_trillions_usd_band_position,0.9720993894920051,0.9720993894920051
global_ai_market_value_in_billions_ratio_lag_3,competition_intensity,0.9720672886937267,0.9720672886937267
global_expectation_for_ai_adoption_%,organizations_using_ai_upper_band,0.9719568053038931,0.9719568053038931
ai_software_revenue_in_billions_std_2,global_ai_market_value_in_billions_ratio_lag_3,0.9718651078009137,0.9718651078009137
ai_software_revenue_in_billions_diff_lag_1,global_ai_market_value_in_billions_ratio_lag_3,0.9718651078009137,0.9718651078009137
global_ai_market_value_in_billions_lag_3,global_ai_market_value_in_billions_ratio_lag_3,0.9718098803556483,0.9718098803556483
global_ai_market_value_in_billions_lag_1,global_ai_market_value_in_billions_lag_2,0.9716934014962441,0.9716934014962441
global_ai_market_value_in_billions_lag_1,organizations_using_ai_lag_3,0.9716296050164644,0.9716296050164644
ai_contribution_to_healthcare_in_billions,ai_software_revenue_in_billions_lower_band,0.9715237166792208,0.9715237166792208
organizations_using_ai_std_5,global_ai_market_value_in_billions_diff_lag_2,0.9714521442772497,0.9714521442772497
global_expectation_for_ai_adoption_%,estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_3,-0.9714440147977887,0.9714440147977887
jobs_at_high_risk_of_automation__transportation_&_storage_%,ai_software_revenue_in_billions_ma_3,0.9711899348375178,0.9711899348375178
ai_software_revenue_in_billions_ratio_lag_3,ai_software_revenue_in_billions_upper_band,-0.9711274744575445,0.9711274744575445
estimated_revenue_increase_from_ai_trillions_usd_ma_3,job_creation_ratio,0.9709471340907789,0.9709471340907789
ai_software_revenue_in_billions_lag_3,organizations_using_ai_lag_1,0.9708786529465303,0.9708786529465303
job_creation_ratio,organizations_using_ai_lower_band,0.9706901531146482,0.9706901531146482
organizations_using_ai_upper_band,organizations_using_ai_lower_band,0.9706386417189953,0.9706386417189953
net_job_loss_in_the_us,ai_software_revenue_in_billions_diff_lag_1,-0.9704124658752703,0.9704124658752703
net_job_loss_in_the_us,ai_software_revenue_in_billions_std_2,-0.9704124658752701,0.9704124658752701
ai_software_revenue_in_billions_lag_2,organizations_using_ai_lag_1,0.9700635341565442,0.9700635341565442
ai_software_revenue_in_billions_lag_2,estimated_revenue_increase_from_ai_trillions_usd_lower_band,0.9700548606767073,0.9700548606767073
global_ai_market_value_in_billions_std_3,organizations_using_ai_std_5,0.9700180929482669,0.9700180929482669
organizations_using_ai_std_5,global_ai_market_value_in_billions_volatility,0.9700180929482666,0.9700180929482666
net_job_loss_in_the_us,estimated_revenue_increase_from_ai_trillions_usd_growth_acceleration,-0.9698812718102616,0.9698812718102616
organizations_using_ai_std_5,global_ai_market_value_in_billions_ratio_lag_2,0.9698786710491726,0.9698786710491726
global_expectation_for_ai_adoption_%,ai_software_revenue_in_billions_upper_band,0.9698333255884933,0.9698333255884933
jobs_at_high_risk_of_automation__transportation_&_storage_%,ai_software_revenue_in_billions_ma_2,0.9697296195637995,0.9697296195637995
organizations_using_ai_std_3,organizations_using_ai_std_5,0.9697223600940983,0.9697223600940983
organizations_using_ai_std_5,organizations_using_ai_volatility,0.9697223600940981,0.9697223600940981
medical_professionals_using_ai_for_diagnosis,ai_software_revenue_in_billions_ma_3,0.9696345398347593,0.9696345398347593
ai_software_revenue_in_billions_lag_3,estimated_revenue_increase_from_ai_trillions_usd_lower_band,0.9696054913968606,0.9696054913968606
global_ai_market_value_in_billions_lag_1,ai_software_revenue_in_billions_zscore,0.9694874629170271,0.9694874629170271
ai_software_revenue_in_billions_cumulative_growth,global_ai_market_value_in_billions_lag_1,0.9694874629170269,0.9694874629170269
ai_software_revenue_in_billions,global_ai_market_value_in_billions_lag_1,0.9694874629170268,0.9694874629170268
global_ai_market_value_in_billions_ratio_lag_3,organizations_using_ai_upper_band,0.9694705979653994,0.9694705979653994
ai_software_revenue_in_billions_diff_lag_2,market_efficiency_ratio,-0.9694472831274219,0.9694472831274219
market_efficiency_ratio,ai_software_revenue_in_billions_volatility,-0.9693164228277108,0.9693164228277108
ai_software_revenue_in_billions_std_3,market_efficiency_ratio,-0.9693164228277108,0.9693164228277108
market_efficiency_ratio,ai_software_revenue_in_billions_upper_band,-0.9691416156729777,0.9691416156729777
global_ai_market_value_in_billions_cumulative_growth,global_ai_market_value_in_billions_lag_2,0.9688968180618509,0.9688968180618509
global_ai_market_value_in_billions,global_ai_market_value_in_billions_lag_2,0.9688968180618508,0.9688968180618508
global_ai_market_value_in_billions_lag_2,global_ai_market_value_in_billions_zscore,0.9688968180618506,0.9688968180618506
digital_voice_assistants_billions_of_devices,ai_software_revenue_in_billions_lag_1,0.9688792310100555,0.9688792310100555
jobs_at_high_risk_of_automation__transportation_&_storage_%,job_creation_ratio,0.96871744508535,0.96871744508535
organizations_using_ai_std_5,global_ai_market_value_in_billions_diff_lag_3,0.9687156285205604,0.9687156285205604
organizations_using_ai_std_5,global_ai_market_value_in_billions_upper_band,0.9686725615647273,0.9686725615647273
ai_software_revenue_in_billions,americans_using_voice_assistants_%,0.9686621634663075,0.9686621634663075
ai_software_revenue_in_billions,estimated_jobs_eliminated_by_ai_millions,0.9686621634663075,0.9686621634663075
year,ai_software_revenue_in_billions_zscore,0.9686621634663074,0.9686621634663074
ai_software_revenue_in_billions_cumulative_growth,cycle_position,0.9686621634663074,0.9686621634663074
ai_software_revenue_in_billions_zscore,years_since_start,0.9686621634663074,0.9686621634663074
year,ai_software_revenue_in_billions_cumulative_growth,0.9686621634663074,0.9686621634663074
companies_prioritizing_ai_in_strategy,ai_software_revenue_in_billions_zscore,0.9686621634663074,0.9686621634663074
estimated_jobs_eliminated_by_ai_millions,ai_software_revenue_in_billions_zscore,0.9686621634663074,0.9686621634663074
ai_software_revenue_in_billions_zscore,cycle_position,0.9686621634663074,0.9686621634663074
americans_using_voice_assistants_%,ai_software_revenue_in_billions_zscore,0.9686621634663074,0.9686621634663074
ai_software_revenue_in_billions_cumulative_growth,years_since_start,0.9686621634663074,0.9686621634663074
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,ai_software_revenue_in_billions_zscore,0.9686621634663074,0.9686621634663074
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,ai_software_revenue_in_billions_cumulative_growth,0.9686621634663074,0.9686621634663074
companies_prioritizing_ai_in_strategy,ai_software_revenue_in_billions_cumulative_growth,0.9686621634663074,0.9686621634663074
ai_software_revenue_in_billions,years_since_start,0.9686621634663073,0.9686621634663073
year,ai_software_revenue_in_billions,0.9686621634663073,0.9686621634663073
ai_software_revenue_in_billions,cycle_position,0.9686621634663073,0.9686621634663073
estimated_jobs_eliminated_by_ai_millions,ai_software_revenue_in_billions_cumulative_growth,0.9686621634663073,0.9686621634663073
ai_software_revenue_in_billions,companies_prioritizing_ai_in_strategy,0.9686621634663073,0.9686621634663073
ai_software_revenue_in_billions,jobs_at_high_risk_of_automation__wholesale_&_retail_trade,0.9686621634663073,0.9686621634663073
americans_using_voice_assistants_%,ai_software_revenue_in_billions_cumulative_growth,0.9686621634663073,0.9686621634663073
organizations_using_ai_ma_3,market_efficiency_ratio,-0.9685037407234046,0.9685037407234046
global_ai_market_value_in_billions_diff_lag_1,global_ai_market_value_in_billions_lag_3,0.9684405841311495,0.9684405841311495
global_ai_market_value_in_billions_std_2,global_ai_market_value_in_billions_lag_3,0.9684405841311495,0.9684405841311495
ai_software_revenue_in_billions_std_5,market_efficiency_ratio,-0.9682914226582707,0.9682914226582707
ai_software_revenue_in_billions_lower_band,organizations_using_ai_zscore,0.9682741924209476,0.9682741924209476
organizations_using_ai,ai_software_revenue_in_billions_lower_band,0.9682741924209475,0.9682741924209475
organizations_using_ai_cumulative_growth,ai_software_revenue_in_billions_lower_band,0.9682741924209474,0.9682741924209474
ai_software_revenue_in_billions_ma_5,market_efficiency_ratio,-0.9682240675246312,0.9682240675246312
digital_voice_assistants_billions_of_devices,ai_software_revenue_in_billions_lag_2,0.9682146343473927,0.9682146343473927
global_ai_market_value_in_billions_lag_1,estimated_revenue_increase_from_ai_trillions_usd_lag_3,0.968174822931474,0.968174822931474
net_job_loss_in_the_us,estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_2,0.9681688917616121,0.9681688917616121
global_ai_market_value_in_billions,organizations_using_ai_std_5,0.9680101507129116,0.9680101507129116
global_ai_market_value_in_billions_cumulative_growth,organizations_using_ai_std_5,0.9680101507129115,0.9680101507129115
organizations_using_ai_std_5,global_ai_market_value_in_billions_zscore,0.9680101507129112,0.9680101507129112
organizations_using_ai_lag_2,market_efficiency_ratio,-0.9680070378668911,0.9680070378668911
global_ai_market_value_in_billions_std_5,organizations_using_ai_std_5,0.9679895162813239,0.9679895162813239
digital_voice_assistants_billions_of_devices,ai_software_revenue_in_billions_cumulative_growth,0.9679874600359715,0.9679874600359715
digital_voice_assistants_billions_of_devices,ai_software_revenue_in_billions_zscore,0.9679874600359715,0.9679874600359715
ai_software_revenue_in_billions,digital_voice_assistants_billions_of_devices,0.9679874600359714,0.9679874600359714
net_job_loss_in_the_us,estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_3,0.9679618046056249,0.9679618046056249
ai_software_revenue_in_billions_detrended,global_ai_market_value_in_billions_diff_lag_3,0.9679277712969724,0.9679277712969724
global_ai_market_value_in_billions_yoy_growth,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9677675147708873,0.9677675147708873
global_ai_market_value_in_billions_rolling_2y_growth,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9677675147708873,0.9677675147708873
global_ai_market_value_in_billions_ratio_lag_1,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9677675147708872,0.9677675147708872
estimated_revenue_increase_from_ai_trillions_usd_ma_5,estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_3,-0.9673912681828302,0.9673912681828302
ai_software_revenue_in_billions_lower_band,organizations_using_ai_upper_band,0.9672851786243221,0.9672851786243221
organizations_using_ai_growth_acceleration,organizations_using_ai_ratio_lag_1,0.9672063873521294,0.9672063873521294
organizations_using_ai_yoy_growth,organizations_using_ai_growth_acceleration,0.9672063873521288,0.9672063873521288
organizations_using_ai_rolling_2y_growth,organizations_using_ai_growth_acceleration,0.9672063873521288,0.9672063873521288
ai_contribution_to_healthcare_in_billions,global_ai_market_value_in_billions_ratio_lag_3,0.9671182163939478,0.9671182163939478
ai_software_revenue_in_billions_ma_5,organizations_using_ai_lower_band,0.9671156919629699,0.9671156919629699
global_ai_market_value_in_billions_lag_2,global_ai_market_value_in_billions_upper_band,0.9671151370411345,0.9671151370411345
digital_voice_assistants_billions_of_devices,ai_software_revenue_in_billions_lag_3,0.9671081980463401,0.9671081980463401
estimated_revenue_increase_from_ai_trillions_usd_detrended,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9670745372626455,0.9670745372626455
global_ai_market_value_in_billions_ma_2,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9669784052481222,0.9669784052481222
ai_software_revenue_in_billions_growth_acceleration,global_ai_market_value_in_billions_ma_5,0.9668423228536566,0.9668423228536566
global_ai_market_value_in_billions_std_2,global_ai_market_value_in_billions_ratio_lag_1,0.9665214566804723,0.9665214566804723
global_ai_market_value_in_billions_yoy_growth,global_ai_market_value_in_billions_std_2,0.9665214566804722,0.9665214566804722
global_ai_market_value_in_billions_diff_lag_1,global_ai_market_value_in_billions_ratio_lag_1,0.9665214566804722,0.9665214566804722
global_ai_market_value_in_billions_rolling_2y_growth,global_ai_market_value_in_billions_std_2,0.9665214566804722,0.9665214566804722
global_ai_market_value_in_billions_rolling_2y_growth,global_ai_market_value_in_billions_diff_lag_1,0.9665214566804721,0.9665214566804721
global_ai_market_value_in_billions_yoy_growth,global_ai_market_value_in_billions_diff_lag_1,0.9665214566804721,0.9665214566804721
jobs_at_high_risk_of_automation__manufacturing,job_creation_ratio,0.96642978219882,0.96642978219882
ai_software_revenue_in_billions_ratio_lag_2,ai_software_revenue_in_billions_ratio_lag_3,0.9664166780013717,0.9664166780013717
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_3,year_sin,0.9662489971159002,0.9662489971159002
ai_software_revenue_in_billions_detrended,global_ai_market_value_in_billions_std_5,0.9661978002441729,0.9661978002441729
ai_software_revenue_in_billions_std_5,ai_software_revenue_in_billions_detrended,0.9661853971157318,0.9661853971157318
job_creation_ratio,estimated_revenue_increase_from_ai_trillions_usd_upper_band,0.9661682241668547,0.9661682241668547
global_ai_market_value_in_billions_std_2,organizations_using_ai_std_5,0.9660595876707236,0.9660595876707236
organizations_using_ai_std_5,global_ai_market_value_in_billions_diff_lag_1,0.9660595876707234,0.9660595876707234
medical_professionals_using_ai_for_diagnosis,job_creation_ratio,0.9659103391462154,0.9659103391462154
ai_software_revenue_in_billions_ma_3,market_efficiency_ratio,-0.9657960490389503,0.9657960490389503
organizations_using_ai_ma_5,market_efficiency_ratio,-0.9656450005586469,0.9656450005586469
jobs_at_high_risk_of_automation__transportation_&_storage_%,ai_software_revenue_in_billions_lag_1,0.9656335281716598,0.9656335281716598
ai_software_revenue_in_billions_ratio_lag_3,organizations_using_ai_lag_3,-0.9655987948204412,0.9655987948204412
ai_software_revenue_in_billions_lower_band,investment_attractiveness,0.9655809840711199,0.9655809840711199
organizations_planning_to_implement_ai,ai_software_revenue_in_billions_lag_3,0.9653991843914848,0.9653991843914848
organizations_using_ai_ma_5,ai_software_revenue_in_billions_ratio_lag_2,-0.9653445330313343,0.9653445330313343
global_ai_market_value_in_billions,global_ai_market_value_in_billions_ratio_lag_3,0.9653105516458155,0.9653105516458155
global_ai_market_value_in_billions_ratio_lag_3,global_ai_market_value_in_billions_zscore,0.9653105516458154,0.9653105516458154
