% of respondents that “agree”,Opinion on products and services using AI,Year,Category,Country,% of respondents,Label,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change,Response,Global opinions on the impact of AI on current jobs,Demographic group,Party,Policy
,,,,Australia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,61%,,,,,,
,,,,Australia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,32%,,,,,,
,,,,Australia,,,,Products and services using  artificial intelligence  make me excited,39%,,,,,,
,,,,Australia,,,,Products and services using artificial intelligence make me nervous,64%,,,,,,
,,,,Belgium,,,,Products and services using artificial intelligence make me nervous,51%,,,,,,
,,,,Belgium,,,,I know which types of products and  services use artificial intelligence ,37%,,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,34%,,,,,,
,,,,Belgium,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,61%,,,,,,
,,,,Belgium,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,37%,,,,,,
,,,,Belgium,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,40%,,,,,,
,,,,Belgium,,,,Products and services using  artificial intelligence  make me excited,33%,,,,,,
,,,,Belgium,,,,I have a good understanding of what  artificial intelligence is ,65%,,,,,,
,,,,Brazil,,,,I have a good understanding of what  artificial intelligence is ,64%,,,,,,
,,,,Brazil,,,,I know which types of products and  services use artificial intelligence ,57%,,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,53%,,,,,,
,,,,Brazil,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,62%,,,,,,
,,,,Brazil,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,56%,,,,,,
,,,,Brazil,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,45%,,,,,,
,,,,Brazil,,,,Products and services using  artificial intelligence  make me excited,56%,,,,,,
,,,,Brazil,,,,Products and services using artificial intelligence make me nervous,47%,,,,,,
,,,,Canada,,,,I have a good understanding of what  artificial intelligence is ,65%,,,,,,
,,,,Canada,,,,I know which types of products and  services use artificial intelligence ,36%,,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,37%,,,,,,
,,,,Canada,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,61%,,,,,,
,,,,Canada,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,41%,,,,,,
,,,,Canada,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,28%,,,,,,
,,,,Canada,,,,Products and services using  artificial intelligence  make me excited,37%,,,,,,
,,,,Canada,,,,Products and services using artificial intelligence make me nervous,63%,,,,,,
,,,,Chile,,,,I know which types of products and  services use artificial intelligence ,53%,,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,51%,,,,,,
,,,,Chile,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,43%,,,,,,
,,,,Chile,,,,Products and services using  artificial intelligence  make me excited,46%,,,,,,
,,,,Chile,,,,Products and services using artificial intelligence make me nervous,51%,,,,,,
,,,,Chile,,,,I have a good understanding of what  artificial intelligence is ,65%,,,,,,
,,,,Chile,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,59%,,,,,,
,,,,Chile,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,69%,,,,,,
,,,,China,,,,I have a good understanding of what  artificial intelligence is ,72%,,,,,,
,,,,China,,,,I know which types of products and  services use artificial intelligence ,81%,,,,,,
,,,,China,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,78%,,,,,,
,,,,China,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,86%,,,,,,
,,,,China,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,76%,,,,,,
,,,,China,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,66%,,,,,,
,,,,China,,,,Products and services using  artificial intelligence  make me excited,80%,,,,,,
,,,,China,,,,Products and services using artificial intelligence make me nervous,34%,,,,,,
,,,,Colombia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,50%,,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,77%,,,,,,
,,,,Colombia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,55%,,,,,,
,,,,Colombia,,,,I know which types of products and  services use artificial intelligence ,60%,,,,,,
,,,,Colombia,,,,I have a good understanding of what  artificial intelligence is ,71%,,,,,,
,,,,Colombia,,,,Products and services using  artificial intelligence  make me excited,63%,,,,,,
,,,,Colombia,,,,Products and services using artificial intelligence make me nervous,48%,,,,,,
,,,,Colombia,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,66%,,,,,,
,,,,France,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,35%,,,,,,
,,,,France,,,,Products and services using artificial intelligence make me nervous,49%,,,,,,
,,,,France,,,,Products and services using  artificial intelligence  make me excited,39%,,,,,,
,,,,France,,,,I have a good understanding of what  artificial intelligence is ,61%,,,,,,
,,,,France,,,,I know which types of products and  services use artificial intelligence ,41%,,,,,,
,,,,France,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,35%,,,,,,
,,,,France,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,57%,,,,,,
,,,,France,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,41%,,,,,,
,,,,Germany,,,,I know which types of products and  services use artificial intelligence ,41%,,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,39%,,,,,,
,,,,Germany,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,59%,,,,,,
,,,,Germany,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,48%,,,,,,
,,,,Germany,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,43%,,,,,,
,,,,Germany,,,,I have a good understanding of what  artificial intelligence is ,60%,,,,,,
,,,,Germany,,,,Products and services using artificial intelligence make me nervous,44%,,,,,,
,,,,Germany,,,,Products and services using  artificial intelligence  make me excited,46%,,,,,,
,,,,Great Britain,,,,Products and services using artificial intelligence make me nervous,64%,,,,,,
,,,,Great Britain,,,,I have a good understanding of what  artificial intelligence is ,63%,,,,,,
,,,,Great Britain,,,,I know which types of products and  services use artificial intelligence ,40%,,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,38%,,,,,,
,,,,Great Britain,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,58%,,,,,,
,,,,Great Britain,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,44%,,,,,,
,,,,Great Britain,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,41%,,,,,,
,,,,Great Britain,,,,Products and services using  artificial intelligence  make me excited,38%,,,,,,
,,,,Hungary,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,64%,,,,,,
,,,,Hungary,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,64%,,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,64%,,,,,,
,,,,Hungary,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,37%,,,,,,
,,,,Hungary,,,,I know which types of products and  services use artificial intelligence ,41%,,,,,,
,,,,Hungary,,,,I have a good understanding of what  artificial intelligence is ,75%,,,,,,
,,,,Hungary,,,,Products and services using  artificial intelligence  make me excited,47%,,,,,,
,,,,Hungary,,,,Products and services using artificial intelligence make me nervous,44%,,,,,,
,,,,India,,,,Products and services using artificial intelligence make me nervous,51%,,,,,,
,,,,India,,,,I know which types of products and  services use artificial intelligence ,62%,,,,,,
,,,,India,,,,Products and services using  artificial intelligence  make me excited,63%,,,,,,
,,,,India,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,60%,,,,,,
,,,,India,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,63%,,,,,,
,,,,India,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,65%,,,,,,
,,,,India,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,63%,,,,,,
,,,,India,,,,I have a good understanding of what  artificial intelligence is ,64%,,,,,,
,,,,Indonesia,,,,Products and services using artificial intelligence make me nervous,48%,,,,,,
,,,,Indonesia,,,,Products and services using  artificial intelligence  make me excited,76%,,,,,,
,,,,Indonesia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,66%,,,,,,
,,,,Indonesia,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,68%,,,,,,
,,,,Indonesia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,80%,,,,,,
,,,,Indonesia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,71%,,,,,,
,,,,Indonesia,,,,I know which types of products and  services use artificial intelligence ,80%,,,,,,
,,,,Indonesia,,,,I have a good understanding of what  artificial intelligence is ,86%,,,,,,
,,,,Ireland,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,42%,,,,,,
,,,,Ireland,,,,Products and services using artificial intelligence make me nervous,67%,,,,,,
,,,,Ireland,,,,Products and services using  artificial intelligence  make me excited,40%,,,,,,
,,,,Ireland,,,,I have a good understanding of what  artificial intelligence is ,66%,,,,,,
,,,,Ireland,,,,I know which types of products and  services use artificial intelligence ,40%,,,,,,
,,,,Ireland,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,42%,,,,,,
,,,,Ireland,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,59%,,,,,,
,,,,Ireland,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,42%,,,,,,
,,,,Italy,,,,Products and services using artificial intelligence make me nervous,43%,,,,,,
,,,,Italy,,,,I know which types of products and  services use artificial intelligence ,51%,,,,,,
,,,,Italy,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,58%,,,,,,
,,,,Italy,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,61%,,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,60%,,,,,,
,,,,Italy,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,40%,,,,,,
,,,,Italy,,,,I have a good understanding of what  artificial intelligence is ,51%,,,,,,
,,,,Italy,,,,Products and services using  artificial intelligence  make me excited,49%,,,,,,
,,,,Japan,,,,Products and services using artificial intelligence make me nervous,25%,,,,,,
,,,,Japan,,,,I have a good understanding of what  artificial intelligence is ,44%,,,,,,
,,,,Japan,,,,I know which types of products and  services use artificial intelligence ,40%,,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,43%,,,,,,
,,,,Japan,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,63%,,,,,,
,,,,Japan,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,38%,,,,,,
,,,,Japan,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,27%,,,,,,
,,,,Japan,,,,Products and services using  artificial intelligence  make me excited,47%,,,,,,
,,,,Malaysia,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,52%,,,,,,
,,,,Malaysia,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,62%,,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,71%,,,,,,
,,,,Malaysia,,,,Products and services using artificial intelligence make me nervous,50%,,,,,,
,,,,Malaysia,,,,I know which types of products and  services use artificial intelligence ,61%,,,,,,
,,,,Malaysia,,,,I have a good understanding of what  artificial intelligence is ,61%,,,,,,
,,,,Malaysia,,,,Products and services using  artificial intelligence  make me excited,68%,,,,,,
,,,,Malaysia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,64%,,,,,,
,,,,Mexico,,,,I have a good understanding of what  artificial intelligence is ,80%,,,,,,
,,,,Mexico,,,,I know which types of products and  services use artificial intelligence ,65%,,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,69%,,,,,,
,,,,Mexico,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,76%,,,,,,
,,,,Mexico,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,76%,,,,,,
,,,,Mexico,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,64%,,,,,,
,,,,Mexico,,,,Products and services using  artificial intelligence  make me excited,70%,,,,,,
,,,,Mexico,,,,Products and services using artificial intelligence make me nervous,48%,,,,,,
,,,,Netherlands,,,,Products and services using artificial intelligence make me nervous,49%,,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,32%,,,,,,
,,,,Netherlands,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,63%,,,,,,
,,,,Netherlands,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,38%,,,,,,
,,,,Netherlands,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,44%,,,,,,
,,,,Netherlands,,,,Products and services using  artificial intelligence  make me excited,40%,,,,,,
,,,,Netherlands,,,,I know which types of products and  services use artificial intelligence ,37%,,,,,,
,,,,Netherlands,,,,I have a good understanding of what  artificial intelligence is ,70%,,,,,,
,,,,New Zealand,,,,I have a good understanding of what  artificial intelligence is ,69%,,,,,,
,,,,New Zealand,,,,Products and services using artificial intelligence make me nervous,66%,,,,,,
,,,,New Zealand,,,,Products and services using  artificial intelligence  make me excited,43%,,,,,,
,,,,New Zealand,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,39%,,,,,,
,,,,New Zealand,,,,I know which types of products and  services use artificial intelligence ,40%,,,,,,
,,,,New Zealand,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,64%,,,,,,
,,,,New Zealand,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,37%,,,,,,
,,,,New Zealand,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,43%,,,,,,
,,,,Peru,,,,Products and services using  artificial intelligence  make me excited,67%,,,,,,
,,,,Peru,,,,Products and services using artificial intelligence make me nervous,50%,,,,,,
,,,,Peru,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,62%,,,,,,
,,,,Peru,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,74%,,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,76%,,,,,,
,,,,Peru,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,66%,,,,,,
,,,,Peru,,,,I know which types of products and  services use artificial intelligence ,65%,,,,,,
,,,,Peru,,,,I have a good understanding of what  artificial intelligence is ,79%,,,,,,
,,,,Poland,,,,I know which types of products and  services use artificial intelligence ,47%,,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,41%,,,,,,
,,,,Poland,,,,I have a good understanding of what  artificial intelligence is ,67%,,,,,,
,,,,Poland,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,56%,,,,,,
,,,,Poland,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,53%,,,,,,
,,,,Poland,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,45%,,,,,,
,,,,Poland,,,,Products and services using  artificial intelligence  make me excited,44%,,,,,,
,,,,Poland,,,,Products and services using artificial intelligence make me nervous,37%,,,,,,
,,,,Singapore,,,,I have a good understanding of what  artificial intelligence is ,67%,,,,,,
,,,,Singapore,,,,I know which types of products and  services use artificial intelligence ,56%,,,,,,
,,,,Singapore,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,68%,,,,,,
,,,,Singapore,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,79%,,,,,,
,,,,Singapore,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,60%,,,,,,
,,,,Singapore,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,56%,,,,,,
,,,,Singapore,,,,Products and services using  artificial intelligence  make me excited,64%,,,,,,
,,,,Singapore,,,,Products and services using artificial intelligence make me nervous,56%,,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,76%,,,,,,
,,,,South Africa,,,,Products and services using  artificial intelligence  make me excited,61%,,,,,,
,,,,South Africa,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,62%,,,,,,
,,,,South Africa,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,72%,,,,,,
,,,,South Africa,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,63%,,,,,,
,,,,South Africa,,,,Products and services using artificial intelligence make me nervous,54%,,,,,,
,,,,South Africa,,,,I have a good understanding of what  artificial intelligence is ,76%,,,,,,
,,,,South Africa,,,,I know which types of products and  services use artificial intelligence ,64%,,,,,,
,,,,South Korea,,,,I have a good understanding of what  artificial intelligence is ,72%,,,,,,
,,,,South Korea,,,,I know which types of products and  services use artificial intelligence ,65%,,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,71%,,,,,,
,,,,South Korea,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,79%,,,,,,
,,,,South Korea,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,51%,,,,,,
,,,,South Korea,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,37%,,,,,,
,,,,South Korea,,,,Products and services using  artificial intelligence  make me excited,73%,,,,,,
,,,,South Korea,,,,Products and services using artificial intelligence make me nervous,40%,,,,,,
,,,,Spain,,,,I have a good understanding of what  artificial intelligence is ,65%,,,,,,
,,,,Spain,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,48%,,,,,,
,,,,Spain,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,52%,,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,43%,,,,,,
,,,,Spain,,,,Products and services using artificial intelligence make me nervous,48%,,,,,,
,,,,Spain,,,,I know which types of products and  services use artificial intelligence ,46%,,,,,,
,,,,Spain,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,59%,,,,,,
,,,,Spain,,,,Products and services using  artificial intelligence  make me excited,45%,,,,,,
,,,,Sweden,,,,I have a good understanding of what  artificial intelligence is ,65%,,,,,,
,,,,Sweden,,,,I know which types of products and  services use artificial intelligence ,39%,,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,31%,,,,,,
,,,,Sweden,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,52%,,,,,,
,,,,Sweden,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,33%,,,,,,
,,,,Sweden,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,35%,,,,,,
,,,,Sweden,,,,Products and services using artificial intelligence make me nervous,56%,,,,,,
,,,,Sweden,,,,Products and services using  artificial intelligence  make me excited,36%,,,,,,
,,,,Switzerland,,,,I know which types of products and  services use artificial intelligence ,42%,,,,,,
,,,,Switzerland,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,38%,,,,,,
,,,,Switzerland,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,55%,,,,,,
,,,,Switzerland,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,43%,,,,,,
,,,,Switzerland,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,43%,,,,,,
,,,,Switzerland,,,,Products and services using artificial intelligence make me nervous,51%,,,,,,
,,,,Switzerland,,,,I have a good understanding of what  artificial intelligence is ,57%,,,,,,
,,,,Switzerland,,,,Products and services using  artificial intelligence  make me excited,42%,,,,,,
,,,,Thailand,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,73%,,,,,,
,,,,Thailand,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,78%,,,,,,
,,,,Thailand,,,,I have a good understanding of what  artificial intelligence is ,75%,,,,,,
,,,,Thailand,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,68%,,,,,,
,,,,Thailand,,,,Products and services using  artificial intelligence  make me excited,76%,,,,,,
,,,,Thailand,,,,Products and services using artificial intelligence make me nervous,52%,,,,,,
,,,,Thailand,,,,I know which types of products and  services use artificial intelligence ,69%,,,,,,
,,,,Thailand,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,73%,,,,,,
,,,,Turkey,,,,Products and services using  artificial intelligence  make me excited,70%,,,,,,
,,,,Turkey,,,,Products and services using artificial intelligence make me nervous,53%,,,,,,
,,,,Turkey,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,46%,,,,,,
,,,,Turkey,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,61%,,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,76%,,,,,,
,,,,Turkey,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,61%,,,,,,
,,,,Turkey,,,,I know which types of products and  services use artificial intelligence ,67%,,,,,,
,,,,Turkey,,,,I have a good understanding of what  artificial intelligence is ,74%,,,,,,
,,,,United States,,,,I have a good understanding of what  artificial intelligence is ,68%,,,,,,
,,,,United States,,,,I know which types of products and  services use artificial intelligence ,39%,,,,,,
,,,,United States,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,37%,,,,,,
,,,,United States,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,58%,,,,,,
,,,,United States,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,41%,,,,,,
,,,,United States,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,33%,,,,,,
,,,,United States,,,,Products and services using artificial intelligence make me nervous,64%,,,,,,
,,,,United States,,,,Products and services using  artificial intelligence  make me excited,34%,,,,,,
,,,,Global,,,53%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Global,,,50%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,China,,,80%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,China,,,34%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Indonesia,,,76%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Indonesia,,,48%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Thailand,,,76%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Thailand,,,52%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Mexico,,,70%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Mexico,,,48%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Peru,,,67%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Peru,,,50%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,South Africa,,,61%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,South Africa,,,54%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Turkey,,,70%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Turkey,,,53%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Singapore,,,64%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Singapore,,,56%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,South Korea,,,73%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,South Korea,,,40%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Colombia,,,63%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Colombia,,,48%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,India,,,63%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,India,,,51%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Malaysia,,,68%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Malaysia,,,50%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Argentina,,,52%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Argentina,,,47%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Brazil,,,56%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Brazil,,,47%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Hungary,,,47%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Hungary,,,44%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Chile,,,46%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Chile,,,51%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Italy,,,49%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Italy,,,43%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Spain,,,45%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Spain,,,48%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Poland,,,44%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Poland,,,37%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Germany,,,46%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Germany,,,44%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,New Zealand,,,43%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,New Zealand,,,67%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Ireland,,,40%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Ireland,,,67%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Netherlands,,,40%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Netherlands,,,49%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Great Britain,,,38%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Great Britain,,,64%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Switzerland,,,42%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Switzerland,,,51%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Australia,,,39%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Australia,,,64%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,United States,,,34%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,United States,,,64%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,France,,,39%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,France,,,49%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Belgium,,,33%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Belgium,,,51%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Japan,,,47%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Japan,,,25%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Canada,,,37%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Canada,,,63%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Sweden,,,36%,Products and services using  artificial intelligence  make me excited,,,,,,,
,,,,Sweden,,,56%,Products and services using artificial intelligence make me nervous,,,,,,,
,,,,Global,,,,I have a good understanding of what  artificial intelligence is ,,0%,,,,,
,,,,Global,,,,I know which types of products and  services use artificial intelligence ,,1%,,,,,
